task,budget,method,sample_idx,score,rep_ratio,collapsed,onset_word_idx,dispersion_cv
qmsum,0.8,streaming,0,13.740458015267176,0.0078125,0,23,13.304143793181405
qmsum,0.8,streaming,1,13.131313131313133,0.006097560975609756,0,29,16.20148632291638
qmsum,0.8,streaming,2,8.938547486033519,0.03125,0,48,22.313047742566038
qmsum,0.8,streaming,3,11.320754716981133,0.0,0,,19.99420207474776
qmsum,0.8,streaming,4,4.166666666666667,0.007936507936507936,0,62,17.945923985115062
qmsum,0.8,streaming,5,5.3475935828877015,0.0,0,,22.628302438707095
qmsum,0.8,streaming,6,8.866995073891626,0.028901734104046242,0,6,22.628302438707095
qmsum,0.8,streaming,7,3.75,0.01910828025477707,0,63,22.628302438707095
qmsum,0.8,streaming,8,6.097560975609756,0.0,0,,22.628302438707095
qmsum,0.8,streaming,9,14.285714285714285,0.03333333333333333,0,39,12.8825556009296
qmsum,0.8,streaming,10,8.16326530612245,0.0125,0,23,22.628302438707095
qmsum,0.8,streaming,11,4.8484848484848495,0.01910828025477707,0,63,22.628302438707095
qmsum,0.8,streaming,12,14.049586776859504,0.017964071856287425,0,5,20.393139713093806
qmsum,0.8,streaming,13,8.24742268041237,0.0,0,,20.36683909142766
qmsum,0.8,streaming,14,13.13131313131313,0.0,0,,19.663369832397546
qmsum,0.8,streaming,15,12.093023255813954,0.07051282051282051,0,22,17.220457988590535
qmsum,0.8,streaming,16,13.714285714285715,0.03333333333333333,0,39,12.8825556009296
qmsum,0.8,streaming,17,12.264150943396226,0.0125,0,23,22.628302438707095
qmsum,0.8,streaming,18,5.847953216374268,0.014285714285714285,0,22,22.09688123008186
qmsum,0.8,streaming,19,8.040201005025125,0.01910828025477707,0,63,22.628302438707095
qmsum,0.8,streaming,20,9.859154929577466,0.0,0,,20.648877318270845
qmsum,0.8,streaming,21,10.869565217391305,0.019736842105263157,0,24,22.628302438707095
qmsum,0.8,streaming,22,2.424242424242424,0.0,0,,22.628302438707095
qmsum,0.8,streaming,23,8.121827411167512,0.0,0,,19.99420207474776
qmsum,0.8,streaming,24,16.87763713080169,0.024242424242424242,0,91,14.526399756155296
qmsum,0.8,streaming,25,6.097560975609756,0.0,0,,14.634487357819824
qmsum,0.8,streaming,26,9.523809523809526,0.0,0,,20.648877318270845
qmsum,0.8,streaming,27,9.183673469387756,0.028901734104046242,0,6,22.628302438707095
qmsum,0.8,streaming,28,6.862745098039215,0.025,0,48,18.64854255149911
qmsum,0.8,streaming,29,20.264317180616743,0.03333333333333333,0,39,12.8825556009296
qmsum,0.8,streaming,30,12.875536480686694,0.006097560975609756,0,29,16.20148632291638
qmsum,0.8,streaming,31,4.878048780487805,0.04,0,55,22.628302438707095
qmsum,0.8,streaming,32,9.467455621301776,0.01935483870967742,0,62,22.1314270497851
qmsum,0.8,streaming,33,13.617021276595745,0.017964071856287425,0,5,20.393139713093806
qmsum,0.8,streaming,34,4.25531914893617,0.0,0,,18.954264000184647
qmsum,0.8,streaming,35,7.575757575757576,0.0,0,,20.648877318270845
qmsum,0.8,streaming,36,14.37908496732026,0.0,0,,20.648877318270845
qmsum,0.8,streaming,37,8.139534883720929,0.04,0,55,22.628302438707095
qmsum,0.8,streaming,38,8.121827411167512,0.0,0,,20.36683909142766
qmsum,0.8,streaming,39,12.549019607843137,0.006097560975609756,0,29,16.20148632291638
qmsum,0.8,streaming,40,7.142857142857144,0.007936507936507936,0,62,17.945923985115062
qmsum,0.8,streaming,41,11.711711711711713,0.017964071856287425,0,5,20.393139713093806
